"sample_names" "type" "species" "nmds_1" "nmds_2" "nmds_3" "nmds_4"
"1" "bib_CHUNB56555" "known" "bib" -0.16180075924846 0.0769235749120736 -0.0821723679192665 -0.0273510233709312
"2" "bib_CHUNB56918" "known" "bib" -0.117112914732066 0.0753844266251799 -0.107866996850214 0.100098168753601
"3" "bib_CHUNB57375" "known" "bib" -0.202315165362632 0.119097467111531 0.0104685042618857 -0.0438450459067549
"4" "bib_CHUNB57376" "known" "bib" -0.158082649121976 0.103304675309381 0.0431848469565996 -0.0386843555085929
"5" "bib_CHUNB57377" "known" "bib" -0.103585302629475 -0.0518225140570395 -0.044958335488442 -0.0998175304449922
"6" "bib_CHUNB57378" "known" "bib" -0.121769827290777 0.0456886569738524 0.0578026524859013 0.107289317226567
"7" "bib_CHUNB57379" "unknown" "bib" -0.0910068391914626 0.0254486095294095 0.127913319950912 -0.0178324279931118
"8" "bib_CHUNB64577" "known" "bib" -0.181938732530606 0.0945097107370758 0.0773000857097369 -0.0911916346456789
"9" "bib_CHUNB64578" "known" "bib" -0.0915112348751698 0.0749827074743161 -0.0632263365101831 0.0476313526857373
"10" "bib_CHUNB64579" "known" "bib" -0.00452221946498917 -0.121344744163187 -0.0225068058036062 0.0388357017746761
"11" "bib_CHUNB64603" "known" "bib" -0.0697175527667703 -0.11239873165562 0.0523320195512186 0.0833998823104405
"12" "bib_CHUNB64604" "known" "bib" -0.0768701359139424 -0.0991977738841698 0.147179804149162 0.0451212435984918
"13" "bib_CHUNB64605" "known" "bib" -0.164681823079543 0.0637881601363692 -0.0504116621299898 -0.0116980087435903
"14" "bib_CHUNB64606" "known" "bib" -0.044729476096308 0.135536362868921 -0.0436978486076506 0.0618573572435157
"15" "bib_CHUNB64607" "known" "bib" -0.107064133394966 -0.0147554840610858 0.0904856561281433 0.0260472242816005
"16" "bib_CHUNB64608" "unknown" "bib" -0.153047636190834 -0.0520473266656866 0.0984257373291128 -0.00833936609819546
"17" "bib_CHUNB64609" "known" "bib" -0.107931733277236 -0.00642149592513898 -0.0427778757032671 0.0452264456313511
"18" "bib_CHUNB64610" "known" "bib" -0.0975066709039062 -0.157580499200997 0.00842827283127993 -0.0953343191421025
"19" "bib_MZUSP65628" "known" "bib" -0.0919605233653555 -0.121073322150556 -0.124195414675545 0.000920789302171713
"20" "bib_MZUSP66105" "known" "bib" -0.0918651127733346 -0.0508864873831625 -0.0915427390615907 -0.0740613095825233
"21" "bib_MZUSP78721" "known" "bib" -0.124296265332012 -0.0786400721574259 -0.0549890991989156 0.04146934315937
"22" "bib_MZUSP87592" "known" "bib" -0.0651490004271252 -0.114510157803785 -0.0766535405087583 -0.00168763508386136
"23" "bil_MCNR445" "known" "bil" 0.175523250423417 0.0376378871621939 0.00684553618918412 -0.0843611004094724
"24" "bil_MCNR522" "known" "bil" 0.23657308239771 0.0779253429025643 -0.0332172526169717 -0.0310780495075879
"25" "bil_MCNR3156" "unknown" "bil" 0.19802073172261 0.0454595586843878 0.00802633893911779 -0.0595398237855412
"26" "bil_MCNR3277" "known" "bil" 0.193778396881165 -0.0214580534883395 -0.00890677220308936 -0.0656222735091484
"27" "bil_MCNR3557" "known" "bil" 0.168443338424675 0.038924902806135 0.00910181511749243 -0.0808454261280703
"28" "bil_MZUSP5366" "known" "bil" 0.20994716735978 0.0543160604934404 -0.0416688213702449 0.00735173045569017
"29" "bil_MZUSP10410" "known" "bil" 0.0792425205673972 0.0180588484289612 0.148415198876043 -0.000317757283817792
"30" "bil_MZUSP29698" "known" "bil" 0.196938602076416 -0.110719391129689 0.00599306619880446 -0.0384368156309929
"31" "bil_MZUSP39522" "known" "bil" 0.216916608640411 -0.0865577926660273 -0.013508833161731 0.0554192879325051
"32" "bil_MZUSP42778" "known" "bil" 0.177608163267755 0.0660040719425004 -0.0174138607488462 0.0128352509356668
"33" "bil_CHUNB36170" "unknown" "bil" 0.165317515061318 -0.00577960783716852 -0.0154569132095411 0.037028081451641
"34" "bil_CHUNB36171" "known" "bil" 0.206940732128608 0.0287739310739107 0.0190023635164633 0.107630387790593
"35" "bil_CHUNB36172" "known" "bil" 0.203215599017686 0.0234284990568753 0.0242662575767954 0.0518823382413461
